净值日期,每万份收益,7日年化收益率（%）,申购状态,赎回状态,分红送配
2024-07-17,0.4808,1.7670%,限制大额申购,开放赎回,
2024-07-16,0.4748,1.7680%,限制大额申购,开放赎回,
2024-07-15,0.4774,1.7720%,限制大额申购,开放赎回,
2024-07-14*,0.9605,1.7760%,限制大额申购,开放赎回,
2024-07-12,0.48,1.7780%,限制大额申购,开放赎回,
2024-07-11,0.485,1.7800%,限制大额申购,开放赎回,
2024-07-10,0.4832,1.7810%,限制大额申购,开放赎回,
2024-07-09,0.4829,1.7850%,限制大额申购,开放赎回,
2024-07-08,0.4838,1.8090%,限制大额申购,开放赎回,
2024-07-07*,0.9651,1.8260%,限制大额申购,开放赎回,
2024-07-05,0.4828,1.8530%,限制大额申购,开放赎回,
2024-07-04,0.4872,1.9030%,限制大额申购,开放赎回,
2024-07-03,0.4911,1.9150%,限制大额申购,开放赎回,
2024-07-02,0.5291,1.9230%,限制大额申购,开放赎回,
2024-07-01,0.5154,1.9030%,限制大额申购,开放赎回,
2024-06-30*,1.0162,1.8880%,限制大额申购,开放赎回,
2024-06-28,0.5764,1.8640%,限制大额申购,开放赎回,
2024-06-27,0.5101,1.8760%,限制大额申购,开放赎回,
2024-06-26,0.5067,1.9260%,限制大额申购,开放赎回,
2024-06-25,0.4908,2.0580%,限制大额申购,开放赎回,
2024-06-24,0.4869,2.1450%,限制大额申购,开放赎回,
2024-06-23*,0.9715,2.1380%,限制大额申购,开放赎回,
2024-06-21,0.5991,2.1270%,限制大额申购,开放赎回,
2024-06-20,0.6044,2.1350%,限制大额申购,开放赎回,
2024-06-19,0.7547,2.1060%,限制大额申购,开放赎回,
2024-06-18,0.6536,2.1260%,限制大额申购,开放赎回,
2024-06-17,0.4741,2.0320%,限制大额申购,开放赎回,
2024-06-16*,0.951,2.0340%,限制大额申购,开放赎回,
2024-06-14,0.6144,2.0340%,限制大额申购,开放赎回,
2024-06-13,0.5498,1.9610%,限制大额申购,开放赎回,
2024-06-12,0.7926,2.1060%,限制大额申购,开放赎回,
2024-06-11,0.477,2.0120%,限制大额申购,开放赎回,
2024-06-10*,1.4285,2.0150%,限制大额申购,开放赎回,
2024-06-07,0.4764,2.1820%,限制大额申购,开放赎回,
2024-06-06,0.8228,2.1860%,限制大额申购,开放赎回,
2024-06-05,0.6164,2.0040%,限制大额申购,开放赎回,
2024-06-04,0.4814,2.0090%,限制大额申购,开放赎回,
2024-06-03,0.7775,2.1380%,限制大额申购,开放赎回,
2024-06-02*,0.9647,2.0460%,限制大额申购,开放赎回,
2024-05-31,0.4836,2.0370%,限制大额申购,开放赎回,
2024-05-30,0.4824,2.1270%,限制大额申购,开放赎回,
2024-05-29,0.6242,2.1720%,限制大额申购,开放赎回,
2024-05-28,0.7247,2.1650%,限制大额申购,开放赎回,
2024-05-27,0.6046,2.3000%,限制大额申购,开放赎回,
2024-05-26*,0.9476,2.3550%,限制大额申购,开放赎回,
2024-05-24,0.6535,2.3540%,限制大额申购,开放赎回,
2024-05-23,0.5673,2.3130%,限制大额申购,开放赎回,
2024-05-22,0.6099,2.2660%,限制大额申购,开放赎回,
2024-05-21,0.9788,2.2270%,限制大额申购,开放赎回,
2024-05-20,0.7066,2.2680%,限制大额申购,开放赎回,
2024-05-19*,0.9464,2.1620%,限制大额申购,开放赎回,
2024-05-17,0.5759,2.1840%,限制大额申购,开放赎回,
2024-05-16,0.4796,2.1590%,限制大额申购,开放赎回,
2024-05-15,0.5369,2.2530%,限制大额申购,开放赎回,
2024-05-14,1.0555,2.2300%,限制大额申购,开放赎回,
2024-05-13,0.5075,2.3830%,限制大额申购,开放赎回,
2024-05-12*,0.9884,2.3840%,限制大额申购,开放赎回,
2024-05-10,0.529,2.3960%,限制大额申购,开放赎回,
2024-05-09,0.6565,2.3830%,限制大额申购,开放赎回,
2024-05-08,0.4937,2.3030%,限制大额申购,开放赎回,
2024-05-07,1.3422,2.3090%,限制大额申购,开放赎回,
2024-05-06,0.508,1.8640%,限制大额申购,开放赎回,
2024-05-05*,2.5276,1.8490%,限制大额申购,开放赎回,
2024-04-30,0.5056,2.1890%,限制大额申购,开放赎回,
2024-04-29,0.4814,2.1900%,限制大额申购,开放赎回,
2024-04-28*,1.0132,2.2460%,限制大额申购,开放赎回,
2024-04-26,0.8104,2.2650%,限制大额申购,开放赎回,
2024-04-25,0.8327,2.1410%,限制大额申购,开放赎回,
2024-04-24,0.5088,2.2950%,限制大额申购,开放赎回,
2024-04-23,0.5086,2.4330%,限制大额申购,开放赎回,
2024-04-22,0.5867,2.4450%,限制大额申购,开放赎回,
2024-04-21*,1.0487,2.4150%,限制大额申购,开放赎回,
2024-04-19,0.5763,2.4220%,限制大额申购,开放赎回,
2024-04-18,1.1218,2.4180%,限制大额申购,开放赎回,
2024-04-17,0.7682,2.1030%,限制大额申购,开放赎回,
2024-04-16,0.5303,1.9850%,限制大额申购,开放赎回,
2024-04-15,0.5312,1.9950%,限制大额申购,开放赎回,
2024-04-14*,1.0612,2.0130%,限制大额申购,开放赎回,
2024-04-12,0.5697,2.0470%,限制大额申购,开放赎回,
2024-04-11,0.5305,2.0430%,限制大额申购,开放赎回,
2024-04-10,0.5472,2.0600%,限制大额申购,开放赎回,
2024-04-09,0.5493,2.0680%,限制大额申购,开放赎回,
2024-04-08,0.5645,2.0810%,限制大额申购,开放赎回,
2024-04-07*,2.2497,2.0940%,限制大额申购,开放赎回,
2024-04-03,0.5624,2.3400%,限制大额申购,开放赎回,
2024-04-02,0.5727,2.3480%,限制大额申购,开放赎回,
2024-04-01,0.5902,2.3510%,限制大额申购,开放赎回,
2024-03-31*,1.1846,2.3350%,限制大额申购,开放赎回,
2024-03-29,0.8501,2.2950%,限制大额申购,开放赎回,
2024-03-28,0.6759,2.1550%,限制大额申购,开放赎回,
2024-03-27,0.5785,2.0890%,限制大额申购,开放赎回,
2024-03-26,0.5777,2.0760%,限制大额申购,开放赎回,
2024-03-25,0.5596,2.0650%,限制大额申购,开放赎回,
2024-03-24*,1.1106,2.0670%,限制大额申购,开放赎回,
2024-03-22,0.5871,2.0780%,限制大额申购,开放赎回,
2024-03-21,0.5521,2.0760%,限制大额申购,开放赎回,
2024-03-20,0.5528,2.0860%,限制大额申购,开放赎回,
2024-03-19,0.5578,2.0960%,限制大额申购,开放赎回,
2024-03-18,0.5629,2.1170%,限制大额申购,开放赎回,
2024-03-17*,1.1319,2.1220%,限制大额申购,开放赎回,
2024-03-15,0.5834,2.1330%,限制大额申购,开放赎回,
2024-03-14,0.5709,2.2020%,限制大额申购,开放赎回,
2024-03-13,0.5712,2.2100%,限制大额申购,开放赎回,
2024-03-12,0.5975,2.4890%,限制大额申购,开放赎回,
2024-03-11,0.5716,2.4860%,限制大额申购,开放赎回,
2024-03-10*,1.1539,2.4980%,限制大额申购,开放赎回,
2024-03-08,0.7117,2.5160%,限制大额申购,开放赎回,
2024-03-07,0.5865,2.4530%,限制大额申购,开放赎回,
2024-03-06,1.0949,2.4570%,限制大额申购,开放赎回,
2024-03-05,0.5919,2.1890%,限制大额申购,开放赎回,
2024-03-04,0.5935,2.5020%,限制大额申购,开放赎回,
2024-03-03*,1.1869,2.4990%,限制大额申购,开放赎回,
2024-03-01,0.5933,2.4950%,限制大额申购,开放赎回,
2024-02-29,0.5951,2.5350%,限制大额申购,开放赎回,
2024-02-28,0.5912,2.5320%,限制大额申购,开放赎回,
2024-02-27,1.1798,2.5310%,限制大额申购,开放赎回,
2024-02-26,0.5874,2.2250%,限制大额申购,开放赎回,
2024-02-25*,1.179,2.2390%,限制大额申购,开放赎回,
2024-02-23,0.6689,2.2600%,限制大额申购,开放赎回,
2024-02-22,0.5894,2.2290%,限制大额申购,开放赎回,
2024-02-21,0.5899,2.2400%,限制大额申购,开放赎回,
2024-02-20,0.6062,2.2500%,限制大额申购,开放赎回,
2024-02-19,0.6126,2.2520%,限制大额申购,开放赎回,
2024-02-18*,6.0976,2.2510%,限制大额申购,开放赎回,
2024-02-08,0.6094,2.3220%,限制大额申购,开放赎回,
2024-02-07,0.7273,2.3340%,限制大额申购,开放赎回,
2024-02-06,0.6065,2.2830%,限制大额申购,开放赎回,
2024-02-05,0.6099,2.5330%,限制大额申购,开放赎回,
2024-02-04*,1.2317,2.6440%,限制大额申购,开放赎回,
2024-02-02,0.6174,2.6690%,限制大额申购,开放赎回,
2024-02-01,0.6313,2.6810%,限制大额申购,开放赎回,
2024-01-31,0.6329,2.7640%,限制大额申购,开放赎回,
2024-01-30,1.0735,2.7610%,限制大额申购,开放赎回,
2024-01-29,0.8181,2.6390%,限制大额申购,开放赎回,
2024-01-28*,1.2777,2.6260%,限制大额申购,开放赎回,
2024-01-26,0.6396,2.6210%,限制大额申购,开放赎回,
2024-01-25,0.7864,2.6350%,限制大额申购,开放赎回,
2024-01-24,0.6275,2.5560%,限制大额申购,开放赎回,
2024-01-23,0.8455,2.5650%,限制大额申购,开放赎回,
2024-01-22,0.7942,2.4570%,限制大额申购,开放赎回,
2024-01-21*,1.2692,2.5490%,限制大额申购,开放赎回,
2024-01-19,0.6652,2.5670%,限制大额申购,开放赎回,
2024-01-18,0.6394,2.6320%,限制大额申购,开放赎回,
2024-01-17,0.6433,2.7550%,限制大额申购,开放赎回,
2024-01-16,0.6438,2.7550%,限制大额申购,开放赎回,
2024-01-15,0.9659,2.7550%,限制大额申购,开放赎回,
2024-01-14*,1.3043,2.5820%,限制大额申购,开放赎回,
2024-01-12,0.7864,2.5910%,限制大额申购,开放赎回,
2024-01-11,0.8695,2.5590%,限制大额申购,开放赎回,
2024-01-10,0.6434,2.4570%,限制大额申购,开放赎回,
2024-01-09,0.6425,2.4770%,限制大额申购,开放赎回,
2024-01-08,0.6424,2.5100%,限制大额申购,开放赎回,
2024-01-07*,1.3221,2.5540%,限制大额申购,开放赎回,
2024-01-05,0.7264,2.6220%,限制大额申购,开放赎回,
2024-01-04,0.6786,2.6430%,限制大额申购,开放赎回,
2024-01-03,0.6808,2.7020%,限制大额申购,开放赎回,
2024-01-02,0.7034,2.7260%,限制大额申购,开放赎回,
2024-01-01,0.7253,3.0400%,限制大额申购,开放赎回,
2023-12-31*,1.4501,3.0030%,限制大额申购,开放赎回,
2023-12-29,0.7656,2.9140%,限制大额申购,开放赎回,
2023-12-28,0.7884,2.8480%,限制大额申购,开放赎回,
2023-12-27,0.7259,2.7800%,限制大额申购,开放赎回,
2023-12-26,1.2874,2.7240%,限制大额申购,开放赎回,
2023-12-25,0.6568,2.3660%,限制大额申购,开放赎回,
2023-12-24*,1.2847,2.4350%,限制大额申购,开放赎回,
2023-12-22,0.6421,2.4050%,限制大额申购,开放赎回,
2023-12-21,0.6625,2.5440%,限制大额申购,开放赎回,
2023-12-20,0.6203,2.5140%,限制大额申购,开放赎回,
2023-12-19,0.6175,2.5350%,限制大额申购,开放赎回,
2023-12-18,0.7873,2.5290%,限制大额申购,开放赎回,
2023-12-17*,1.2285,2.4290%,限制大额申购,开放赎回,
2023-12-15,0.9027,2.4030%,限制大额申购,开放赎回,
2023-12-14,0.6056,2.2360%,限制大额申购,开放赎回,
2023-12-13,0.6603,2.2280%,限制大额申购,开放赎回,
2023-12-12,0.6066,2.3970%,限制大额申购,开放赎回,
2023-12-11,0.599,2.3960%,限制大额申购,开放赎回,
2023-12-10*,1.1801,2.6050%,限制大额申购,开放赎回,
2023-12-08,0.5904,2.6630%,限制大额申购,开放赎回,
2023-12-07,0.5906,2.7340%,限制大额申购,开放赎回,
2023-12-06,0.9764,2.7610%,限制大额申购,开放赎回,
2023-12-05,0.604,2.5770%,限制大额申购,开放赎回,
2023-12-04,0.9909,2.6150%,限制大额申购,开放赎回,
2023-12-03*,1.2873,2.4150%,限制大额申购,开放赎回,
2023-12-01,0.7243,2.3630%,限制大额申购,开放赎回,
2023-11-30,0.6397,2.2940%,限制大额申购,开放赎回,
2023-11-29,0.6332,2.2720%,限制大额申购,开放赎回,
2023-11-28,0.6759,2.2410%,限制大额申购,开放赎回,
2023-11-27,0.6161,2.1870%,限制大额申购,开放赎回,
2023-11-26*,1.1902,2.1640%,限制大额申购,开放赎回,
2023-11-24,0.595,2.1420%,限制大额申购,开放赎回,
2023-11-23,0.5982,2.1800%,限制大额申购,开放赎回,
2023-11-22,0.575,2.2120%,限制大额申购,开放赎回,
2023-11-21,0.5749,2.2530%,限制大额申购,开放赎回,
2023-11-20,0.5736,2.2410%,限制大额申购,开放赎回,
2023-11-19*,1.1486,2.2280%,限制大额申购,开放赎回,
2023-11-17,0.6666,2.1960%,限制大额申购,开放赎回,
2023-11-16,0.6576,2.1300%,限制大额申购,开放赎回,
2023-11-15,0.6522,2.1010%,限制大额申购,开放赎回,
2023-11-14,0.5513,2.0870%,限制大额申购,开放赎回,
2023-11-13,0.55,2.0790%,限制大额申购,开放赎回,
2023-11-12*,1.0879,2.0740%,限制大额申购,开放赎回,
2023-11-10,0.5435,2.0770%,限制大额申购,开放赎回,
2023-11-09,0.6024,2.1510%,限制大额申购,开放赎回,
2023-11-08,0.627,2.1270%,限制大额申购,开放赎回,
2023-11-07,0.5358,2.1230%,限制大额申购,开放赎回,
2023-11-06,0.5397,2.1710%,限制大额申购,开放赎回,
2023-11-05*,1.0934,2.1950%,限制大额申购,开放赎回,
2023-11-03,0.6836,2.2370%,限制大额申购,开放赎回,
2023-11-02,0.5567,2.2670%,限制大额申购,开放赎回,
2023-11-01,0.619,2.5240%,限制大额申购,开放赎回,
2023-10-31,0.6275,2.7180%,限制大额申购,开放赎回,
2023-10-30,0.5833,2.7430%,限制大额申购,开放赎回,
2023-10-29*,1.1735,2.8920%,限制大额申购,开放赎回,
2023-10-27,0.7395,2.8810%,限制大额申购,开放赎回,
2023-10-26,1.0382,2.8300%,限制大额申购,开放赎回,
2023-10-25,0.9816,2.5670%,限制大额申购,开放赎回,
2023-10-24,0.6736,2.3350%,限制大额申购,开放赎回,
2023-10-23,0.8624,2.2560%,限制大额申购,开放赎回,
2023-10-22*,1.1512,2.0770%,限制大额申购,开放赎回,
2023-10-20,0.6456,2.0270%,限制大额申购,开放赎回,
2023-10-19,0.5467,1.9670%,限制大额申购,开放赎回,
2023-10-18,0.5478,1.9660%,限制大额申购,开放赎回,
2023-10-17,0.5246,1.9660%,限制大额申购,开放赎回,
2023-10-16,0.5276,1.9870%,限制大额申购,开放赎回,
2023-10-15*,1.0554,2.0140%,限制大额申购,开放赎回,
2023-10-13,0.5344,2.0070%,限制大额申购,开放赎回,
2023-10-12,0.5447,2.0000%,限制大额申购,开放赎回,
2023-10-11,0.5463,1.9870%,限制大额申购,开放赎回,
2023-10-10,0.5652,1.9740%,限制大额申购,开放赎回,
2023-10-09,0.5783,1.9510%,限制大额申购,开放赎回,
2023-10-08*,5.2111,1.9200%,限制大额申购,开放赎回,
2023-09-28,0.519,2.1080%,限制大额申购,开放赎回,
2023-09-27,0.5784,2.1170%,限制大额申购,开放赎回,
2023-09-26,0.5621,2.0930%,限制大额申购,开放赎回,
2023-09-25,0.5617,2.1080%,限制大额申购,开放赎回,
2023-09-24*,1.1275,2.0900%,限制大额申购,开放赎回,
2023-09-22,0.6527,2.0520%,限制大额申购,开放赎回,
2023-09-21,0.5356,1.9620%,限制大额申购,开放赎回,
2023-09-20,0.5332,1.9580%,限制大额申购,开放赎回,
2023-09-19,0.5906,1.9680%,限制大额申购,开放赎回,
2023-09-18,0.5283,1.9340%,限制大额申购,开放赎回,
2023-09-17*,1.0554,1.9330%,限制大额申购,开放赎回,
2023-09-15,0.4827,1.9280%,限制大额申购,开放赎回,
2023-09-14,0.5278,1.9350%,限制大额申购,开放赎回,
2023-09-13,0.5536,1.9370%,限制大额申购,开放赎回,
2023-09-12,0.5268,1.9230%,限制大额申购,开放赎回,
2023-09-11,0.5251,1.9270%,限制大额申购,开放赎回,
2023-09-10*,1.0457,1.9310%,限制大额申购,开放赎回,
2023-09-08,0.4967,1.9480%,限制大额申购,开放赎回,
2023-09-07,0.5315,1.9710%,限制大额申购,开放赎回,
2023-09-06,0.5272,1.9700%,限制大额申购,开放赎回,
2023-09-05,0.5337,1.9750%,限制大额申购,开放赎回,
2023-09-04,0.5341,1.9740%,限制大额申购,开放赎回,
2023-09-03*,1.0773,1.9740%,限制大额申购,开放赎回,
2023-09-01,0.5392,1.9650%,限制大额申购,开放赎回,
