净值日期,每万份收益,7日年化收益率（%）,申购状态,赎回状态,分红送配
2025-02-25,0.4329,2.0130%,限制大额申购,开放赎回,
2025-02-24,0.4498,2.1070%,限制大额申购,开放赎回,
2025-02-23*,0.8846,2.0970%,限制大额申购,开放赎回,
2025-02-21,0.4436,2.0750%,限制大额申购,开放赎回,
2025-02-20,0.6816,2.3450%,限制大额申购,开放赎回,
2025-02-19,0.9306,2.2020%,限制大额申购,开放赎回,
2025-02-18,0.6087,2.1420%,限制大额申购,开放赎回,
2025-02-17,0.4318,2.1160%,限制大额申购,开放赎回,
2025-02-16*,0.8429,2.1100%,限制大额申购,开放赎回,
2025-02-14,0.9492,2.1040%,限制大额申购,开放赎回,
2025-02-13,0.4146,1.8210%,限制大额申购,开放赎回,
2025-02-12,0.8185,1.8300%,限制大额申购,开放赎回,
2025-02-11,0.5586,1.6280%,限制大额申购,开放赎回,
2025-02-10,0.4201,1.5710%,限制大额申购,开放赎回,
2025-02-09*,0.8323,1.5880%,限制大额申购,开放赎回,
2025-02-07,0.4164,1.6250%,限制大额申购,开放赎回,
2025-02-06,0.4316,1.6440%,限制大额申购,开放赎回,
2025-02-05,0.4382,1.6540%,限制大额申购,开放赎回,
2025-02-04*,3.6105,1.6610%,限制大额申购,开放赎回,
2025-01-27,0.451,1.6440%,限制大额申购,开放赎回,
2025-01-26*,0.8979,1.6390%,限制大额申购,开放赎回,
2025-01-24,0.46,1.6320%,限制大额申购,开放赎回,
2025-01-23,0.4443,1.6580%,限制大额申购,开放赎回,
2025-01-22,0.4385,1.7330%,限制大额申购,开放赎回,
2025-01-21,0.4354,1.7180%,限制大额申购,开放赎回,
2025-01-20,0.4423,1.8740%,限制大额申购,开放赎回,
2025-01-19*,0.8834,1.9060%,限制大额申购,开放赎回,
2025-01-17,0.51,1.8850%,限制大额申购,开放赎回,
2025-01-16,0.5852,1.8390%,限制大额申购,开放赎回,
2025-01-15,0.4111,1.7550%,限制大额申购,开放赎回,
2025-01-14,0.7284,1.7680%,限制大额申购,开放赎回,
2025-01-13,0.5032,1.6110%,限制大额申购,开放赎回,
2025-01-12*,0.844,1.5730%,限制大额申购,开放赎回,
2025-01-10,0.4223,1.5760%,限制大额申购,开放赎回,
2025-01-09,0.4277,1.5770%,限制大额申购,开放赎回,
2025-01-08,0.4358,1.5790%,限制大额申购,开放赎回,
2025-01-07,0.4311,1.5780%,限制大额申购,开放赎回,
2025-01-06,0.432,1.5800%,限制大额申购,开放赎回,
2025-01-05*,0.8505,1.5820%,限制大额申购,开放赎回,
2025-01-03,0.4247,1.6100%,限制大额申购,开放赎回,
2025-01-02,0.4304,1.6080%,限制大额申购,开放赎回,
2025-01-01,0.4347,1.6100%,限制大额申购,开放赎回,
2024-12-31,0.4348,1.6280%,限制大额申购,开放赎回,
2024-12-30,0.4352,1.6260%,限制大额申购,开放赎回,
2024-12-29*,0.9036,1.6290%,限制大额申购,开放赎回,
2024-12-27,0.4207,1.6120%,限制大额申购,开放赎回,
2024-12-26,0.435,1.8080%,限制大额申购,开放赎回,
2024-12-25,0.4683,1.8080%,限制大额申购,开放赎回,
2024-12-24,0.4314,2.0760%,限制大额申购,开放赎回,
2024-12-23,0.4402,2.0820%,限制大额申购,开放赎回,
2024-12-22*,0.8712,2.0810%,限制大额申购,开放赎回,
2024-12-20,0.7899,2.0850%,限制大额申购,开放赎回,
2024-12-19,0.4352,1.8990%,限制大额申购,开放赎回,
2024-12-18,0.9732,1.9070%,限制大额申购,开放赎回,
2024-12-17,0.4422,1.6290%,限制大额申购,开放赎回,
2024-12-16,0.4388,1.9230%,限制大额申购,开放赎回,
2024-12-15*,0.8787,1.9250%,限制大额申购,开放赎回,
2024-12-13,0.4402,1.9270%,限制大额申购,开放赎回,
2024-12-12,0.4491,1.9280%,限制大额申购,开放赎回,
2024-12-11,0.4508,1.9250%,限制大额申购,开放赎回,
2024-12-10,0.9948,1.9210%,限制大额申购,开放赎回,
2024-12-09,0.4438,1.6290%,限制大额申购,开放赎回,
2024-12-08*,0.882,1.6290%,限制大额申购,开放赎回,
2024-12-06,0.4412,1.6440%,限制大额申购,开放赎回,
2024-12-05,0.4439,1.6520%,限制大额申购,开放赎回,
2024-12-04,0.4441,1.6580%,限制大额申购,开放赎回,
2024-12-03,0.4441,1.6600%,限制大额申购,开放赎回,
2024-12-02,0.4444,1.6620%,限制大额申购,开放赎回,
2024-12-01*,0.9102,1.6610%,限制大额申购,开放赎回,
2024-11-29,0.4554,1.6430%,限制大额申购,开放赎回,
2024-11-28,0.4555,1.6330%,限制大额申购,开放赎回,
2024-11-27,0.4481,1.6260%,限制大额申购,开放赎回,
2024-11-26,0.448,1.6210%,限制大额申购,开放赎回,
2024-11-25,0.4423,1.6170%,限制大额申购,开放赎回,
2024-11-24*,0.8752,1.9260%,限制大额申购,开放赎回,
2024-11-22,0.4382,1.9270%,限制大额申购,开放赎回,
2024-11-21,0.4409,1.9280%,限制大额申购,开放赎回,
2024-11-20,0.4391,1.9280%,限制大额申购,开放赎回,
2024-11-19,0.4399,1.9300%,限制大额申购,开放赎回,
2024-11-18,1.0258,1.9310%,限制大额申购,开放赎回,
2024-11-17*,0.8773,1.6210%,限制大额申购,开放赎回,
2024-11-15,0.4386,1.6250%,限制大额申购,开放赎回,
2024-11-14,0.4417,1.6270%,限制大额申购,开放赎回,
2024-11-13,0.442,1.6310%,限制大额申购,开放赎回,
2024-11-12,0.443,1.6360%,限制大额申购,开放赎回,
2024-11-11,0.442,1.6380%,限制大额申购,开放赎回,
2024-11-10*,0.8847,1.6400%,限制大额申购,开放赎回,
2024-11-08,0.4425,1.6440%,限制大额申购,开放赎回,
2024-11-07,0.4484,1.8930%,限制大额申购,开放赎回,
2024-11-06,0.4518,1.8910%,限制大额申购,开放赎回,
2024-11-05,0.4463,1.8870%,限制大额申购,开放赎回,
2024-11-04,0.4465,1.8870%,限制大额申购,开放赎回,
2024-11-03*,0.8918,1.8870%,限制大额申购,开放赎回,
2024-11-01,0.9113,1.8840%,限制大额申购,开放赎回,
2024-10-31,0.4449,1.7960%,限制大额申购,开放赎回,
2024-10-30,0.4449,1.7940%,限制大额申购,开放赎回,
2024-10-29,0.4451,1.7930%,限制大额申购,开放赎回,
2024-10-28,0.4464,1.7910%,限制大额申购,开放赎回,
2024-10-27*,0.8868,1.7890%,限制大额申购,开放赎回,
2024-10-25,0.7453,1.7860%,限制大额申购,开放赎回,
2024-10-24,0.4419,1.6680%,限制大额申购,开放赎回,
2024-10-23,0.4426,1.6690%,限制大额申购,开放赎回,
2024-10-22,0.4422,1.6720%,限制大额申购,开放赎回,
2024-10-21,0.4418,1.6760%,限制大额申购,开放赎回,
2024-10-20*,0.8814,1.6800%,限制大额申购,开放赎回,
2024-10-18,0.5219,1.6890%,限制大额申购,开放赎回,
2024-10-17,0.4441,1.6500%,限制大额申购,开放赎回,
2024-10-16,0.449,1.6630%,限制大额申购,开放赎回,
2024-10-15,0.4495,1.6690%,限制大额申购,开放赎回,
2024-10-14,0.4502,1.6800%,限制大额申购,开放赎回,
2024-10-13*,0.8975,1.6870%,限制大额申购,开放赎回,
2024-10-11,0.4489,1.7030%,限制大额申购,开放赎回,
2024-10-10,0.4673,1.7110%,限制大额申购,开放赎回,
2024-10-09,0.4604,1.7100%,限制大额申购,开放赎回,
2024-10-08,0.4708,1.7110%,限制大额申购,开放赎回,
2024-10-07*,3.2476,1.7080%,限制大额申购,开放赎回,
2024-09-30,0.4632,1.9120%,限制大额申购,开放赎回,
2024-09-29*,0.9232,1.9070%,限制大额申购,开放赎回,
2024-09-27,0.4609,1.8970%,限制大额申购,开放赎回,
2024-09-26,0.4591,1.8910%,限制大额申购,开放赎回,
2024-09-25,0.5534,1.8880%,限制大额申购,开放赎回,
2024-09-24,0.7729,1.8350%,限制大额申购,开放赎回,
2024-09-23,0.4537,1.6650%,限制大额申购,开放赎回,
2024-09-22*,0.9036,1.6640%,限制大额申购,开放赎回,
2024-09-20,0.451,1.6640%,限制大额申购,开放赎回,
2024-09-19,0.452,1.7070%,限制大额申购,开放赎回,
2024-09-18,0.4538,1.7080%,限制大额申购,开放赎回,
2024-09-17*,1.8074,1.7100%,限制大额申购,开放赎回,
2024-09-13,0.5325,1.7400%,限制大额申购,开放赎回,
2024-09-12,0.4547,1.7080%,限制大额申购,开放赎回,
2024-09-11,0.4575,1.7180%,限制大额申购,开放赎回,
2024-09-10,0.4594,1.7230%,限制大额申购,开放赎回,
2024-09-09,0.4621,1.7340%,限制大额申购,开放赎回,
2024-09-08*,0.9424,1.7430%,限制大额申购,开放赎回,
2024-09-06,0.4715,1.7490%,限制大额申购,开放赎回,
2024-09-05,0.4749,1.7520%,限制大额申购,开放赎回,
2024-09-04,0.4669,1.7560%,限制大额申购,开放赎回,
2024-09-03,0.4787,1.7630%,限制大额申购,开放赎回,
2024-09-02,0.4797,1.7640%,限制大额申购,开放赎回,
2024-09-01*,0.9538,1.7650%,限制大额申购,开放赎回,
2024-08-30,0.4777,1.7670%,限制大额申购,开放赎回,
2024-08-29,0.4809,1.8380%,限制大额申购,开放赎回,
2024-08-28,0.4809,1.8370%,限制大额申购,开放赎回,
2024-08-27,0.4805,1.8350%,限制大额申购,开放赎回,
2024-08-26,0.4811,1.8340%,限制大额申购,开放赎回,
2024-08-25*,0.9583,1.8330%,限制大额申购,开放赎回,
2024-08-23,0.6118,1.8320%,限制大额申购,开放赎回,
2024-08-22,0.478,1.8900%,限制大额申购,开放赎回,
2024-08-21,0.4783,1.8900%,限制大额申购,开放赎回,
2024-08-20,0.4786,1.8900%,限制大额申购,开放赎回,
2024-08-19,0.4776,1.8910%,限制大额申购,开放赎回,
2024-08-18*,0.958,2.0290%,限制大额申购,开放赎回,
2024-08-16,0.7195,2.0280%,限制大额申购,开放赎回,
2024-08-15,0.4791,1.8990%,限制大额申购,开放赎回,
2024-08-14,0.4772,1.8990%,限制大额申购,开放赎回,
2024-08-13,0.4812,1.8990%,限制大额申购,开放赎回,
2024-08-12,0.7382,1.8980%,限制大额申购,开放赎回,
2024-08-11*,0.9546,1.7620%,限制大额申购,开放赎回,
2024-08-09,0.4776,1.7650%,限制大额申购,开放赎回,
2024-08-08,0.4783,1.7660%,限制大额申购,开放赎回,
2024-08-07,0.478,1.7700%,限制大额申购,开放赎回,
2024-08-06,0.4801,1.7730%,限制大额申购,开放赎回,
2024-08-05,0.4803,1.7750%,限制大额申购,开放赎回,
2024-08-04*,0.9606,1.7770%,限制大额申购,开放赎回,
2024-08-02,0.4806,1.7790%,限制大额申购,开放赎回,
2024-08-01,0.4847,1.8750%,限制大额申购,开放赎回,
2024-07-31,0.485,1.8720%,限制大额申购,开放赎回,
2024-07-30,0.4833,1.8690%,限制大额申购,开放赎回,
2024-07-29,0.484,1.8670%,限制大额申购,开放赎回,
2024-07-28*,0.9647,1.8660%,限制大额申购,开放赎回,
2024-07-26,0.6602,1.8650%,限制大额申购,开放赎回,
2024-07-25,0.4793,1.7700%,限制大额申购,开放赎回,
2024-07-24,0.4799,1.7710%,限制大额申购,开放赎回,
2024-07-23,0.4803,1.7710%,限制大额申购,开放赎回,
2024-07-22,0.4806,1.7680%,限制大额申购,开放赎回,
2024-07-21*,0.9632,1.7670%,限制大额申购,开放赎回,
2024-07-19,0.4814,1.7650%,限制大额申购,开放赎回,
2024-07-18,0.481,1.7640%,限制大额申购,开放赎回,
