净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low
2015-08-10,1.005,1.005,0.40%,开放申购,开放赎回,,1.005,1.001,1.001,0.0040000000000000036,,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036,0.0,,,,,,,,,1.005,0.997
2015-08-11,1.007,1.007,0.20%,开放申购,开放赎回,,1.007,1.005,1.005,0.0020000000000000018,,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,,,,,,,,,1.007,0.997
2015-08-12,1.001,1.001,-0.60%,开放申购,开放赎回,,1.007,1.001,1.007,0.006000000000000005,0.0026428571428571373,-0.006000000000000005,0.006000000000000005,0.0,0.006000000000000005,52.89716407128125,50.83730334399368,1.9857052131394621,1.9857052131394621,,,,,1.007,0.997
2015-08-13,1.004,1.004,0.30%,开放申购,开放赎回,,1.004,1.001,1.001,0.0030000000000001137,0.0028571428571428597,0.0030000000000001137,-0.0030000000000001137,0.0030000000000001137,0.0,54.69682584170299,42.18792037762346,12.911119605724132,7.650734898183365,,,,,1.007,0.997
2015-08-14,1.004,1.004,0.00%,开放申购,开放赎回,,1.004,1.004,1.004,0.0,0.002642857142857145,0.0,0.0,0.0,0.0,53.235155870517204,41.06052741809027,12.911119605724137,9.535625945126677,,,,,1.007,0.997
2015-08-17,1.005,1.005,0.10%,开放申购,开放赎回,,1.005,1.004,1.004,0.0009999999999998899,0.0025714285714285657,0.0009999999999998899,-0.0009999999999998899,0.0009999999999998899,0.0,53.1792720681078,38.10862834033698,16.50891702004429,11.477250573191004,,,,,1.007,0.997
2015-08-18,0.997,0.997,-0.80%,开放申购,开放赎回,,1.005,0.997,1.005,0.007999999999999896,0.0029285714285714154,-0.007999999999999896,0.007999999999999896,0.0,0.007999999999999896,42.27862391013862,56.12809748665034,14.073706937830806,12.076210933148026,,,,,1.007,0.997
2015-08-19,0.999,0.999,0.20%,开放申购,开放赎回,,0.999,0.997,0.997,0.0020000000000000018,0.0029285714285714154,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018,0.0,44.68289254419307,50.94063234752231,6.544142574136997,10.97536755047684,1.00075,-0.0017486884836373012,1.007,0.997,1.007,0.997
2015-08-20,0.994,0.994,-0.50%,开放申购,开放赎回,,0.999,0.994,0.999,0.0050000000000000044,0.0029285714285714154,-0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,40.638127987459995,61.78430576840888,20.646041111805932,12.6820523485825,1.00045,-0.006447098805537574,1.007,0.994,1.007,0.994
2015-08-21,0.986,0.986,-0.80%,开放申购,开放赎回,,0.994,0.986,0.994,0.008000000000000007,0.003357142857142844,-0.008000000000000007,0.008000000000000007,0.0,0.008000000000000007,32.30138923626967,70.27647072410218,37.02073868815663,16.569021232645515,0.99975,-0.013753438359589937,1.007,0.986,1.007,0.986
