净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-06-22,0.799,0.799,1.01%,开放申购,开放赎回,
2016-06-21,0.791,0.791,-1.25%,开放申购,开放赎回,
2016-06-20,0.801,0.801,0.38%,开放申购,开放赎回,
2016-06-17,0.798,0.798,0.25%,开放申购,开放赎回,
2016-06-16,0.796,0.796,-1.12%,开放申购,开放赎回,
2016-06-15,0.805,0.805,3.34%,开放申购,开放赎回,
2016-06-14,0.779,0.779,0.26%,开放申购,开放赎回,
2016-06-13,0.777,0.777,-4.31%,开放申购,开放赎回,
2016-06-08,0.812,0.812,-0.37%,开放申购,开放赎回,
2016-06-07,0.815,0.815,0.00%,开放申购,开放赎回,
2016-06-06,0.815,0.815,0.87%,开放申购,开放赎回,
2016-06-03,0.808,0.808,0.62%,开放申购,开放赎回,
2016-06-02,0.803,0.803,0.88%,开放申购,开放赎回,
2016-06-01,0.796,0.796,0.13%,开放申购,开放赎回,
2016-05-31,0.795,0.795,3.11%,开放申购,开放赎回,
2016-05-30,0.771,0.771,-0.90%,开放申购,开放赎回,
2016-05-27,0.778,0.778,-0.26%,开放申购,开放赎回,
2016-05-26,0.78,0.78,0.52%,开放申购,开放赎回,
2016-05-25,0.776,0.776,-0.39%,开放申购,开放赎回,
2016-05-24,0.779,0.779,-0.38%,开放申购,开放赎回,
2016-05-23,0.782,0.782,1.30%,开放申购,开放赎回,
2016-05-20,0.772,0.772,0.78%,开放申购,开放赎回,
2016-05-19,0.766,0.766,0.52%,开放申购,开放赎回,
2016-05-18,0.762,0.762,-1.55%,开放申购,开放赎回,
2016-05-17,0.774,0.774,0.65%,开放申购,开放赎回,
2016-05-16,0.769,0.769,0.92%,开放申购,开放赎回,
2016-05-13,0.762,0.762,-0.65%,开放申购,开放赎回,
2016-05-12,0.767,0.767,-0.26%,开放申购,开放赎回,
2016-05-11,0.769,0.769,-1.41%,开放申购,开放赎回,
2016-05-10,0.78,0.78,-0.38%,开放申购,开放赎回,
2016-05-09,0.783,0.783,-0.76%,开放申购,开放赎回,
2016-05-06,0.789,0.789,-1.99%,开放申购,开放赎回,
2016-05-05,0.805,0.805,0.12%,开放申购,开放赎回,
2016-05-04,0.804,0.804,0.00%,开放申购,开放赎回,
2016-05-03,0.804,0.804,2.03%,开放申购,开放赎回,
2016-04-29,0.788,0.788,0.13%,开放申购,开放赎回,
2016-04-28,0.787,0.787,-0.25%,开放申购,开放赎回,
2016-04-27,0.789,0.789,-0.13%,开放申购,开放赎回,
2016-04-26,0.79,0.79,0.51%,开放申购,开放赎回,
2016-04-25,0.786,0.786,-0.51%,开放申购,开放赎回,
2016-04-22,0.79,0.79,0.64%,开放申购,开放赎回,
2016-04-21,0.785,0.785,-0.51%,开放申购,开放赎回,
2016-04-20,0.789,0.789,-2.11%,开放申购,开放赎回,
2016-04-19,0.806,0.806,0.37%,开放申购,开放赎回,
2016-04-18,0.803,0.803,-0.74%,开放申购,开放赎回,
2016-04-15,0.809,0.809,-0.74%,开放申购,开放赎回,
2016-04-14,0.815,0.815,1.24%,开放申购,开放赎回,
2016-04-13,0.805,0.805,0.63%,开放申购,开放赎回,
2016-04-12,0.8,0.8,-0.12%,开放申购,开放赎回,
2016-04-11,0.801,0.801,1.39%,开放申购,开放赎回,
2016-04-08,0.79,0.79,-0.63%,开放申购,开放赎回,
2016-04-07,0.795,0.795,-1.24%,开放申购,开放赎回,
2016-04-06,0.805,0.805,0.37%,开放申购,开放赎回,
2016-04-05,0.802,0.802,1.39%,开放申购,开放赎回,
2016-04-01,0.791,0.791,-0.88%,开放申购,开放赎回,
2016-03-31,0.798,0.798,0.38%,开放申购,开放赎回,
2016-03-30,0.795,0.795,2.58%,开放申购,开放赎回,
2016-03-29,0.775,0.775,-2.39%,开放申购,开放赎回,
2016-03-28,0.794,0.794,-0.13%,开放申购,开放赎回,
2016-03-25,0.795,0.795,2.05%,开放申购,开放赎回,
2016-03-24,0.779,0.779,-1.89%,开放申购,开放赎回,
2016-03-23,0.794,0.794,0.25%,开放申购,开放赎回,
2016-03-22,0.792,0.792,0.13%,开放申购,开放赎回,
2016-03-21,0.791,0.791,1.41%,开放申购,开放赎回,
2016-03-18,0.78,0.78,3.59%,开放申购,开放赎回,
2016-03-17,0.753,0.753,3.72%,开放申购,开放赎回,
2016-03-16,0.726,0.726,-0.55%,开放申购,开放赎回,
2016-03-15,0.73,0.73,-0.82%,开放申购,开放赎回,
2016-03-14,0.736,0.736,4.10%,开放申购,开放赎回,
2016-03-11,0.707,0.707,0.00%,开放申购,开放赎回,
2016-03-10,0.707,0.707,-1.94%,开放申购,开放赎回,
2016-03-09,0.721,0.721,-0.83%,开放申购,开放赎回,
2016-03-08,0.727,0.727,1.54%,开放申购,开放赎回,
2016-03-07,0.716,0.716,1.70%,开放申购,开放赎回,
2016-03-04,0.704,0.704,-3.56%,开放申购,开放赎回,
2016-03-03,0.73,0.73,-0.27%,开放申购,开放赎回,
2016-03-02,0.732,0.732,3.10%,开放申购,开放赎回,
2016-03-01,0.71,0.71,1.28%,开放申购,开放赎回,
2016-02-29,0.701,0.701,-6.16%,开放申购,开放赎回,
2016-02-26,0.747,0.747,-1.97%,开放申购,开放赎回,
2016-02-25,0.762,0.762,-6.85%,开放申购,开放赎回,
2016-02-24,0.818,0.818,-1.33%,开放申购,开放赎回,
2016-02-23,0.829,0.829,-2.13%,开放申购,开放赎回,
2016-02-22,0.847,0.847,1.19%,开放申购,开放赎回,
2016-02-19,0.837,0.837,0.00%,开放申购,开放赎回,
2016-02-18,0.837,0.837,-1.41%,开放申购,开放赎回,
2016-02-17,0.849,0.849,-0.70%,开放申购,开放赎回,
2016-02-16,0.855,0.855,3.01%,开放申购,开放赎回,
2016-02-15,0.83,0.83,0.73%,开放申购,开放赎回,
2016-02-05,0.824,0.824,-0.36%,开放申购,开放赎回,
2016-02-04,0.827,0.827,3.12%,开放申购,开放赎回,
2016-02-03,0.802,0.802,0.63%,开放申购,开放赎回,
2016-02-02,0.797,0.797,3.37%,开放申购,开放赎回,
2016-02-01,0.771,0.771,-1.15%,开放申购,开放赎回,
2016-01-29,0.78,0.78,2.77%,开放申购,开放赎回,
2016-01-28,0.759,0.759,-4.05%,开放申购,开放赎回,
2016-01-27,0.791,0.791,-1.13%,开放申购,开放赎回,
2016-01-26,0.8,0.8,-5.99%,开放申购,开放赎回,
2016-01-25,0.851,0.851,0.71%,开放申购,开放赎回,
2016-01-22,0.845,0.845,0.60%,开放申购,开放赎回,
2016-01-21,0.84,0.84,-4.33%,开放申购,开放赎回,
2016-01-20,0.878,0.878,0.34%,开放申购,开放赎回,
2016-01-19,0.875,0.875,2.82%,开放申购,开放赎回,
2016-01-18,0.851,0.851,2.41%,开放申购,开放赎回,
2016-01-15,0.831,0.831,-1.54%,开放申购,开放赎回,
2016-01-14,0.844,0.844,3.05%,开放申购,开放赎回,
2016-01-13,0.819,0.819,-2.85%,开放申购,开放赎回,
2016-01-12,0.843,0.843,0.24%,开放申购,开放赎回,
2016-01-11,0.841,0.841,-4.97%,开放申购,开放赎回,
2016-01-08,0.885,0.885,-0.56%,开放申购,开放赎回,
2016-01-07,0.89,0.89,-6.22%,开放申购,开放赎回,
2016-01-06,0.949,0.949,1.28%,开放申购,开放赎回,
2016-01-05,0.937,0.937,-3.40%,开放申购,开放赎回,
2016-01-04,0.97,0.97,-7.71%,开放申购,开放赎回,
2015-12-31,1.051,1.051,-1.68%,开放申购,开放赎回,
2015-12-30,1.069,1.069,1.71%,开放申购,开放赎回,
2015-12-29,1.051,1.051,-2.32%,开放申购,开放赎回,
2015-12-28,1.076,1.076,0.00%,开放申购,开放赎回,
2015-12-25,1.076,1.076,1.61%,开放申购,开放赎回,
2015-12-24,1.059,1.059,0.57%,开放申购,开放赎回,
2015-12-23,1.053,1.053,-1.68%,开放申购,开放赎回,
2015-12-22,1.071,1.071,1.61%,开放申购,开放赎回,
2015-12-21,1.054,1.054,-0.94%,开放申购,开放赎回,
2015-12-18,1.064,1.064,-1.12%,开放申购,开放赎回,
2015-12-17,1.076,1.076,2.48%,开放申购,开放赎回,
2015-12-16,1.05,1.05,0.77%,开放申购,开放赎回,
2015-12-15,1.042,1.042,1.36%,开放申购,开放赎回,
2015-12-14,1.028,1.028,0.98%,开放申购,开放赎回,
2015-12-11,1.018,1.018,-1.17%,开放申购,开放赎回,
2015-12-10,1.03,1.03,0.59%,开放申购,开放赎回,
2015-12-09,1.024,1.024,-0.39%,开放申购,开放赎回,
2015-12-08,1.028,1.028,-0.48%,开放申购,开放赎回,
2015-12-07,1.033,1.033,1.08%,开放申购,开放赎回,
2015-12-04,1.022,1.022,-0.49%,开放申购,开放赎回,
2015-12-03,1.027,1.027,2.09%,开放申购,开放赎回,
2015-12-02,1.006,1.006,-2.14%,开放申购,开放赎回,
2015-12-01,1.028,1.028,-2.10%,开放申购,开放赎回,
2015-11-30,1.05,1.05,0.96%,开放申购,开放赎回,
2015-11-27,1.04,1.04,-4.32%,开放申购,开放赎回,
2015-11-26,1.087,1.087,-0.73%,开放申购,开放赎回,
2015-11-25,1.095,1.095,2.53%,开放申购,开放赎回,
2015-11-24,1.068,1.068,1.14%,开放申购,开放赎回,
2015-11-23,1.056,1.056,0.09%,开放申购,开放赎回,
2015-11-20,1.055,1.055,0.96%,开放申购,开放赎回,
2015-11-19,1.045,1.045,1.95%,开放申购,开放赎回,
2015-11-18,1.025,1.025,-1.44%,开放申购,开放赎回,
2015-11-17,1.04,1.04,-1.05%,开放申购,开放赎回,
2015-11-16,1.051,1.051,1.16%,开放申购,开放赎回,
2015-11-13,1.039,1.039,-1.98%,开放申购,开放赎回,
2015-11-12,1.06,1.06,-0.47%,开放申购,开放赎回,
2015-11-11,1.065,1.065,1.04%,开放申购,开放赎回,
2015-11-10,1.054,1.054,0.48%,开放申购,开放赎回,
2015-11-09,1.049,1.049,1.94%,开放申购,开放赎回,
2015-11-06,1.029,1.029,1.68%,开放申购,开放赎回,
2015-11-05,1.012,1.012,0.10%,开放申购,开放赎回,
2015-11-04,1.011,1.011,1.92%,开放申购,开放赎回,
2015-11-03,0.992,0.992,-0.30%,开放申购,开放赎回,
2015-11-02,0.995,0.995,-1.09%,开放申购,开放赎回,
2015-10-30,1.006,1.006,0.40%,开放申购,开放赎回,
2015-10-29,1.002,1.002,1.01%,开放申购,开放赎回,
2015-10-28,0.992,0.992,-0.90%,开放申购,开放赎回,
2015-10-27,1.001,1.001,0.10%,开放申购,开放赎回,
2015-10-26,1.0,1.0,-0.40%,开放申购,开放赎回,
2015-10-23,1.004,1.004,0.70%,开放申购,开放赎回,
2015-10-22,0.997,0.997,1.12%,开放申购,开放赎回,
2015-10-21,0.986,0.986,-1.10%,开放申购,开放赎回,
2015-10-20,0.997,0.997,0.71%,开放申购,开放赎回,
2015-10-19,0.99,0.99,0.00%,开放申购,开放赎回,
2015-10-16,0.99,0.99,0.20%,开放申购,开放赎回,
2015-10-15,0.988,0.988,0.61%,开放申购,开放赎回,
2015-10-14,0.982,0.982,-0.10%,开放申购,开放赎回,
2015-10-13,0.983,0.983,0.31%,开放申购,开放赎回,
2015-10-12,0.98,0.98,0.51%,开放申购,开放赎回,
2015-10-09,0.975,0.975,0.10%,开放申购,开放赎回,
2015-10-08,0.974,0.974,0.52%,开放申购,开放赎回,
2015-09-30,0.969,0.969,0.00%,开放申购,开放赎回,
2015-09-29,0.969,0.969,-0.31%,开放申购,开放赎回,
2015-09-28,0.972,0.972,0.83%,开放申购,开放赎回,
2015-09-25,0.964,0.964,-0.31%,开放申购,开放赎回,
2015-09-24,0.967,0.967,0.00%,开放申购,开放赎回,
2015-09-23,0.967,0.967,0.10%,开放申购,开放赎回,
2015-09-22,0.966,0.966,0.00%,开放申购,开放赎回,
2015-09-21,0.966,0.966,0.31%,开放申购,开放赎回,
2015-09-18,0.963,0.963,0.42%,开放申购,开放赎回,
2015-09-17,0.959,0.959,0.31%,开放申购,开放赎回,
2015-09-16,0.956,0.956,0.53%,开放申购,开放赎回,
2015-09-15,0.951,0.951,-0.52%,开放申购,开放赎回,
2015-09-14,0.956,0.956,-0.62%,开放申购,开放赎回,
2015-09-11,0.962,0.962,0.21%,开放申购,开放赎回,
2015-09-10,0.96,0.96,-0.10%,开放申购,开放赎回,
2015-09-09,0.961,0.961,0.42%,开放申购,开放赎回,
2015-09-08,0.957,0.957,0.53%,开放申购,开放赎回,
2015-09-07,0.952,0.952,0.32%,开放申购,开放赎回,
2015-09-02,0.949,0.949,-0.52%,开放申购,开放赎回,
2015-09-01,0.954,0.954,-0.73%,开放申购,开放赎回,
2015-08-31,0.961,0.961,-0.93%,开放申购,开放赎回,
2015-08-28,0.97,0.97,0.83%,开放申购,开放赎回,
2015-08-27,0.962,0.962,0.10%,开放申购,开放赎回,
2015-08-26,0.961,0.961,-0.93%,开放申购,开放赎回,
2015-08-25,0.97,0.97,-0.82%,开放申购,开放赎回,
2015-08-24,0.978,0.978,-0.81%,开放申购,开放赎回,
2015-08-21,0.986,0.986,-0.80%,开放申购,开放赎回,
2015-08-20,0.994,0.994,-0.50%,开放申购,开放赎回,
2015-08-19,0.999,0.999,0.20%,开放申购,开放赎回,
2015-08-18,0.997,0.997,-0.80%,开放申购,开放赎回,
2015-08-17,1.005,1.005,0.10%,开放申购,开放赎回,
2015-08-14,1.004,1.004,0.00%,开放申购,开放赎回,
2015-08-13,1.004,1.004,0.30%,开放申购,开放赎回,
2015-08-12,1.001,1.001,-0.60%,开放申购,开放赎回,
2015-08-11,1.007,1.007,0.20%,开放申购,开放赎回,
2015-08-10,1.005,1.005,0.40%,开放申购,开放赎回,
2015-08-07,1.001,1.001,0.40%,开放申购,开放赎回,
2015-08-06,0.997,0.997,-0.10%,开放申购,开放赎回,
2015-08-05,0.998,0.998,-0.10%,开放申购,开放赎回,
2015-08-04,0.999,0.999,0.20%,开放申购,开放赎回,
2015-08-03,0.997,0.997,-0.20%,开放申购,开放赎回,
2015-07-31,0.999,0.999,,封闭期,封闭期,
2015-07-24,1.004,1.004,,封闭期,封闭期,
2015-07-17,1.002,1.002,,封闭期,封闭期,
2015-07-10,0.999,0.999,,封闭期,封闭期,
2015-07-07,0.997,0.997,,封闭期,封闭期,
2015-07-03,1.0,1.0,,封闭期,封闭期,
2015-07-01,1.0,1.0,,封闭期,封闭期,
