净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,high,low,previous_close,tr,atr,up_move,down_move,+dm,-dm,+di,-di,dx,adx,moving_average,deviation,recent_high,recent_low,historical_high,historical_low,long_ma,short_ma,trend,downtrend,uptrend,stop_loss,take_profit,trailing_stop
2017-04-18,0.719,0.719,-0.14%,开放申购,开放赎回,,0.72,0.719,0.72,0.0010000000000000009,0.0040000000000000036,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,19.689842729635647,62.265513765201405,51.94983324640642,20.21377542061957,0.74195,-0.0309320035042793,0.752,0.719,1.095,0.701,0.74764,0.74195,downtrend,1.0,0.0,stop_loss,,0.66148
2017-04-19,0.712,0.712,-0.97%,开放申购,开放赎回,,0.719,0.712,0.719,0.007000000000000006,0.004428571428571433,-0.007000000000000006,0.007000000000000006,0.0,0.007000000000000006,16.51406164421051,63.51301154500779,58.7288126727709,22.964849510059125,0.7401,-0.03796784218348874,0.752,0.712,1.095,0.701,0.74704,0.7401,downtrend,1.0,0.0,stop_loss,,0.65504
2017-05-23,0.669,0.669,-2.34%,开放申购,开放赎回,,0.685,0.669,0.685,0.016000000000000014,0.0051428571428571235,-0.016000000000000014,0.016000000000000014,0.0,0.016000000000000014,25.115909522902115,71.26252055263922,47.880641958545525,37.32325863055782,0.6926,-0.03407450187698521,0.705,0.669,1.095,0.669,0.72026,0.6926,downtrend,1.0,0.0,stop_loss,,0.61548
2017-11-16,0.689,0.689,-0.14%,开放申购,开放赎回,,0.69,0.689,0.69,0.0010000000000000009,0.006357142857142862,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,32.16428951412648,52.744625360941065,24.238133153739955,12.225931134805789,0.7093,-0.028619765966445925,0.725,0.689,1.095,0.657,0.7053400000000001,0.7093,uptrend,1.0,0.0,stop_loss,,0.63388
2017-11-17,0.669,0.669,-2.90%,开放申购,开放赎回,,0.689,0.669,0.689,0.019999999999999907,0.00707142857142857,-0.019999999999999907,0.019999999999999907,0.0,0.019999999999999907,26.849987711287433,64.23198523997746,41.04214732885942,14.284232291523907,0.7074499999999999,-0.05435013075128967,0.725,0.669,1.095,0.657,0.7049599999999999,0.7074499999999999,uptrend,1.0,0.0,stop_loss,,0.61548
2017-11-24,0.652,0.652,-0.31%,开放申购,开放赎回,,0.654,0.652,0.654,0.0020000000000000018,0.006285714285714283,-0.0020000000000000018,0.0020000000000000018,0.0,0.0020000000000000018,27.612007667627868,75.68008398563194,46.536066361559726,21.624741328689474,0.6933999999999999,-0.05970579751946912,0.719,0.652,1.095,0.652,0.70168,0.6933999999999999,downtrend,1.0,0.0,stop_loss,,0.59984
2017-11-27,0.648,0.648,-0.61%,开放申购,开放赎回,,0.652,0.648,0.652,0.0040000000000000036,0.006285714285714283,-0.0040000000000000036,0.0040000000000000036,0.0,0.0040000000000000036,25.639721405654452,74.81981824639848,48.95512861305353,23.576911849001192,0.6900999999999999,-0.06100565135487599,0.719,0.648,1.095,0.648,0.70056,0.6900999999999999,downtrend,1.0,0.0,stop_loss,,0.59616
2018-01-09,0.673,0.673,-0.59%,开放申购,开放赎回,,0.677,0.673,0.677,0.0040000000000000036,0.005642857142857116,-0.0040000000000000036,0.0040000000000000036,0.0,0.0040000000000000036,43.72184735927506,53.331663142714405,9.901564336760757,9.969675375959977,0.6818000000000001,-0.012907010853622806,0.693,0.671,1.095,0.648,0.68086,0.6818000000000001,uptrend,1.0,0.0,stop_loss,,0.61916
2018-01-10,0.659,0.659,-2.08%,开放申购,开放赎回,,0.673,0.659,0.673,0.014000000000000012,0.006071428571428553,-0.014000000000000012,0.014000000000000012,0.0,0.014000000000000012,37.73305650250035,62.49715802316612,24.707221906947336,11.022357271030502,0.6803,-0.03130971630163161,0.693,0.659,1.095,0.648,0.67982,0.6803,uptrend,1.0,0.0,stop_loss,,0.60628
2018-01-17,0.631,0.631,-0.47%,开放申购,开放赎回,,0.634,0.631,0.634,0.0030000000000000027,0.006428571428571418,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,27.080479830215864,70.64418368134292,44.57800342896488,18.722108253755955,0.6702000000000001,-0.058490002984184,0.693,0.631,1.095,0.631,0.67404,0.6702000000000001,downtrend,1.0,0.0,stop_loss,,0.58052
2018-04-09,0.644,0.644,-0.46%,开放申购,开放赎回,,0.647,0.644,0.647,0.0030000000000000027,0.009785714285714295,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,41.25816883066387,49.71488507936938,9.295847380333832,15.752965643365576,0.665,-0.03157894736842108,0.693,0.631,1.095,0.569,0.64024,0.665,uptrend,1.0,0.0,stop_loss,,0.59248
2018-05-28,0.636,0.636,-0.47%,开放申购,开放赎回,,0.639,0.636,0.639,0.0030000000000000027,0.00714285714285715,-0.0030000000000000027,0.0030000000000000027,0.0,0.0030000000000000027,44.143149873098125,61.924362181825245,16.76405146518355,10.92242190884993,0.65525,-0.029378099961846607,0.671,0.636,1.095,0.569,0.6529400000000001,0.65525,uptrend,1.0,0.0,stop_loss,,0.5851200000000001
2018-05-29,0.635,0.635,-0.16%,开放申购,开放赎回,,0.636,0.635,0.636,0.0010000000000000009,0.00671428571428572,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,43.606455041814264,62.235312185693616,17.600667139123296,11.399439425298027,0.6552,-0.030830280830280825,0.671,0.635,1.095,0.569,0.6520600000000001,0.6552,uptrend,1.0,0.0,stop_loss,,0.5842
2018-05-30,0.613,0.613,-3.46%,开放申购,开放赎回,,0.635,0.613,0.635,0.02200000000000002,0.00814285714285715,-0.02200000000000002,0.02200000000000002,0.0,0.02200000000000002,33.38789978765478,66.94959366598849,33.44880634659214,12.974394205390464,0.65385,-0.062476103081746656,0.671,0.613,1.095,0.569,0.6507000000000001,0.65385,uptrend,1.0,0.0,stop_loss,,0.56396
2018-06-19,0.567,0.567,-5.97%,开放申购,开放赎回,,0.603,0.567,0.603,0.03600000000000003,0.010857142857142867,-0.03600000000000003,0.03600000000000003,0.0,0.03600000000000003,25.252112870500987,65.47775680825669,44.33561304582543,19.19502212657494,0.62275,-0.08952228020875162,0.671,0.567,1.095,0.567,0.63778,0.62275,downtrend,1.0,0.0,stop_loss,,0.52164
2018-07-30,0.549,0.549,-1.96%,开放申购,开放赎回,,0.56,0.549,0.56,0.01100000000000001,0.006499999999999974,-0.01100000000000001,0.01100000000000001,0.0,0.01100000000000001,41.12969079316777,65.35237113912422,22.748132320501792,15.708501539503008,0.56165,-0.02252292352888799,0.578,0.544,1.095,0.544,0.5865,0.56165,downtrend,1.0,0.0,stop_loss,,0.5050800000000001
